id,kategori,judul,isi,tanggal,sumber,sentimen,kata_kunci
105,ekonomi,Investasi Asing Masuk Capai Rekor Baru,Investor global kembali melirik pasar Indonesia karena potensi pertumbuhan jangka panjang yang menarik.,2025-04-28,Finansial News,positif,"investasi, peningkatan, pertumbuhan, rupiah, stabilitas"
172,ekonomi,Pertumbuhan Ekonomi Nasional Meningkat,"Nilai tukar rupiah menguat terhadap dolar AS, didukung oleh arus masuk investasi asing dan peningkatan cadangan devisa nasional.",2025-06-27,Market Insight,positif,"peningkatan, pasar saham, rupiah, surplus, stabilitas"
301,ekonomi,Investasi Asing Masuk Capai Rekor Baru,Ekonomi Indonesia menunjukkan tanda-tanda pemulihan yang kuat setelah mengalami tekanan global. Analis menilai kebijakan fiskal pemerintah cukup efektif dalam menjaga stabilitas pasar.,2023-08-16,Investor Daily,positif,"stabilitas, pertumbuhan, peningkatan, pasar saham, investasi"
96,ekonomi,"Inflasi Naik, Harga Pangan Semakin Mahal",Krisis energi yang melanda kawasan Asia menurunkan tingkat produksi industri nasional.,2024-02-17,Bisnis Today,negatif,"inflasi, defisit, PHK, utang, penurunan"
448,ekonomi,Investasi Asing Masuk Capai Rekor Baru,Peningkatan daya beli masyarakat dan dukungan stimulus ekonomi menjadi faktor utama penggerak pertumbuhan domestik.,2025-02-09,Bisnis Today,positif,"rupiah, pertumbuhan, peningkatan, stabilitas, surplus"
394,ekonomi,Rupiah Menguat di Tengah Ketidakpastian Global,Ekonomi Indonesia menunjukkan tanda-tanda pemulihan yang kuat setelah mengalami tekanan global. Analis menilai kebijakan fiskal pemerintah cukup efektif dalam menjaga stabilitas pasar.,2023-12-10,Market Insight,positif,"pertumbuhan, pasar saham, peningkatan, stabilitas, surplus"
415,ekonomi,Krisis Energi Tekan Pertumbuhan Ekonomi,Defisit perdagangan meningkat seiring penurunan ekspor dan naiknya harga impor barang modal.,2023-07-21,Ekonomi Update,negatif,"PHK, penurunan, krisis, pelemahan, utang"
209,ekonomi,Rupiah Menguat di Tengah Ketidakpastian Global,Investor global kembali melirik pasar Indonesia karena potensi pertumbuhan jangka panjang yang menarik.,2023-09-17,Ekonomi Update,positif,"rupiah, pertumbuhan, stabilitas, peningkatan, pasar saham"
304,ekonomi,Rupiah Menguat di Tengah Ketidakpastian Global,Peningkatan daya beli masyarakat dan dukungan stimulus ekonomi menjadi faktor utama penggerak pertumbuhan domestik.,2023-02-24,Investor Daily,positif,"peningkatan, stabilitas, surplus, rupiah, investasi"
458,ekonomi,Pertumbuhan Ekonomi Nasional Meningkat,Investor global kembali melirik pasar Indonesia karena potensi pertumbuhan jangka panjang yang menarik.,2025-08-22,Investor Daily,positif,"rupiah, pertumbuhan, investasi, pasar saham, surplus"
365,ekonomi,"Inflasi Naik, Harga Pangan Semakin Mahal",Defisit perdagangan meningkat seiring penurunan ekspor dan naiknya harga impor barang modal.,2023-11-21,Ekonomi Update,negatif,"utang, inflasi, defisit, penurunan, pelemahan"
43,ekonomi,"Inflasi Naik, Harga Pangan Semakin Mahal",Defisit perdagangan meningkat seiring penurunan ekspor dan naiknya harga impor barang modal.,2025-06-07,Bisnis Today,negatif,"PHK, pelemahan, penurunan, inflasi, krisis"
206,ekonomi,Investasi Asing Masuk Capai Rekor Baru,Peningkatan daya beli masyarakat dan dukungan stimulus ekonomi menjadi faktor utama penggerak pertumbuhan domestik.,2025-01-08,Market Insight,positif,"pertumbuhan, peningkatan, pasar saham, surplus, investasi"
38,ekonomi,Defisit Neraca Perdagangan Meningkat Tajam,Kenaikan harga pangan dan energi membuat tekanan inflasi meningkat. Pemerintah diminta segera mengambil langkah untuk menekan dampak sosial ekonomi.,2023-09-22,Ekonomi Update,negatif,"inflasi, pelemahan, PHK, utang, krisis"
214,ekonomi,Pertumbuhan Ekonomi Nasional Meningkat,Peningkatan daya beli masyarakat dan dukungan stimulus ekonomi menjadi faktor utama penggerak pertumbuhan domestik.,2023-06-21,Market Insight,positif,"stabilitas, surplus, pasar saham, peningkatan, rupiah"
277,ekonomi,Krisis Energi Tekan Pertumbuhan Ekonomi,Krisis energi yang melanda kawasan Asia menurunkan tingkat produksi industri nasional.,2024-05-30,Investor Daily,negatif,"utang, PHK, defisit, krisis, penurunan"
24,ekonomi,Investasi Asing Masuk Capai Rekor Baru,"Nilai tukar rupiah menguat terhadap dolar AS, didukung oleh arus masuk investasi asing dan peningkatan cadangan devisa nasional.",2024-12-01,Market Insight,positif,"pertumbuhan, stabilitas, peningkatan, surplus, rupiah"
74,ekonomi,Pasar Saham Indonesia Mengalami Kenaikan,"Nilai tukar rupiah menguat terhadap dolar AS, didukung oleh arus masuk investasi asing dan peningkatan cadangan devisa nasional.",2023-06-22,Market Insight,positif,"pasar saham, stabilitas, investasi, pertumbuhan, rupiah"
